codigo_emenda,nome_autor,tipo_autor,partido_autor,codigo_funcao,descricao_funcao,codigo_subfuncao,descricao_subfuncao,codigo_programa,descricao_programa,codigo_acao,descricao_acao,codigo_natureza_despesa,descricao_natureza_despesa,codigo_modalidade,descricao_modalidade,valor_empenhado
38980004-2024,adolfo viana,deputado federal,psdb,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,7000000.0
38980009-2024,adolfo viana,deputado federal,psdb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,4650000.0
38980007-2024,adolfo viana,deputado federal,psdb,06,seguranca publica,182,defesa civil,2318,gestao de riscos e de desastres,22bo,acoes de protecao e defesa civil,4,investimentos,90,aplicacoes diretas,0.0
38980006-2024,adolfo viana,deputado federal,psdb,15,urbanismo,244,assistencia comunitaria,2317,desenvolvimento regional e ordenamento territorial,00sx,apoio a projetos de desenvolvimento sustentavel local integrado,4,investimentos,90,aplicacoes diretas,1002750.0
38980003-2024,adolfo viana,deputado federal,psdb,06,seguranca publica,181,policiamento,5116,seguranca publica com cidadania,2723,"policiamento, fiscalizacao, enfrentamento a criminalidade e corrupcao",4,investimentos,90,aplicacoes diretas,348600.0
38980002-2024,adolfo viana,deputado federal,psdb,20,agricultura,608,promocao da producao agropecuaria,1144,agropecuaria sustentavel,20zv,fomento ao setor agropecuario,3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,286500.0
38980008-2024,adolfo viana,deputado federal,psdb,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,150000.0
38980008-2024,adolfo viana,deputado federal,psdb,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),4,investimentos,41,transferencias a municipios - fundo a fundo,150000.0
38980001-2024,adolfo viana,deputado federal,psdb,12,educacao,364,ensino superior,5113,"educacao superior: qualidade, democracia, equidade e sustentabilidade",20rk,funcionamento de instituicoes federais de ensino superior,4,investimentos,90,aplicacoes diretas,0.0
38980006-2024,adolfo viana,deputado federal,psdb,15,urbanismo,244,assistencia comunitaria,2317,desenvolvimento regional e ordenamento territorial,00sx,apoio a projetos de desenvolvimento sustentavel local integrado,3,outras despesas correntes,90,aplicacoes diretas,50000.0
38980002-2024,adolfo viana,deputado federal,psdb,20,agricultura,608,promocao da producao agropecuaria,1144,agropecuaria sustentavel,20zv,fomento ao setor agropecuario,3,outras despesas correntes,90,aplicacoes diretas,13500.0
38990023-2024,adriana ventura,deputado federal,novo,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,50,transferencias a inst. privadas s/ fins lucrativos,4635937.0
38990022-2024,adriana ventura,deputado federal,novo,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,31,transferencias a estados e df - fundo a fundo,9971564.0
38990022-2024,adriana ventura,deputado federal,novo,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,3350000.0
38990017-2024,adriana ventura,deputado federal,novo,15,urbanismo,451,estrutura urbana,2319,mobilidade urbana,00t1,apoio a politica nacional de desenvolvimento urbano voltado a implantacao e qualificacao viaria-infra,4,investimentos,40,transferencias a municipios,3349137.0
38990016-2024,adriana ventura,deputado federal,novo,06,seguranca publica,181,policiamento,5116,seguranca publica com cidadania,21bm,"desenvolvimento de politicas de seguranca publica, prevencao e enfrentamento a criminalidade",4,investimentos,99,reserva de contingencia,0.0
38990011-2024,adriana ventura,deputado federal,novo,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,1176417.0
38990018-2024,adriana ventura,deputado federal,novo,12,educacao,302,assistencia hospitalar e ambulatorial,5113,"educacao superior: qualidade, democracia, equidade e sustentabilidade",4086,funcionamento e gestao de instituicoes hospitalares federais,4,investimentos,90,aplicacoes diretas,0.0
38990023-2024,adriana ventura,deputado federal,novo,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,30,transferencias a estados e ao distrito federal,0.0
38990002-2024,adriana ventura,deputado federal,novo,05,defesa nacional,812,desporto comunitario,6111,cooperacao da defesa para o desenvolvimento nacional,20ig,apoio ao programa forcas no esporte (profesp) e projeto joao do pulo (pjp),3,outras despesas correntes,90,aplicacoes diretas,713838.07
38990023-2024,adriana ventura,deputado federal,novo,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,31,transferencias a estados e df - fundo a fundo,0.0
38990023-2024,adriana ventura,deputado federal,novo,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,41,transferencias a municipios - fundo a fundo,0.0
38990012-2024,adriana ventura,deputado federal,novo,05,defesa nacional,364,ensino superior,6112,defesa nacional,21gq,funcionamento dos estabelecimentos de ensino superior militares do ministerio da defesa,4,investimentos,90,aplicacoes diretas,522019.5
38990006-2024,adriana ventura,deputado federal,novo,19,ciencia e tecnologia,572,desenvolvimento tecnologico e engenharia,2324,inovacao nas empresas para uma nova industrializacao,20v6,fomento ao desenvolvimento tecnologico e a inovacao nas empresas e nas cadeias produtivas,4,investimentos,99,reserva de contingencia,0.0
38990006-2024,adriana ventura,deputado federal,novo,19,ciencia e tecnologia,572,desenvolvimento tecnologico e engenharia,2324,inovacao nas empresas para uma nova industrializacao,20v6,fomento ao desenvolvimento tecnologico e a inovacao nas empresas e nas cadeias produtivas,3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,0.0
38990011-2024,adriana ventura,deputado federal,novo,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),4,investimentos,41,transferencias a municipios - fundo a fundo,323583.0
38990019-2024,adriana ventura,deputado federal,novo,13,cultura,392,difusao cultural,5125,direito a cultura,20zf,promocao e fomento a cultura brasileira,3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,0.0
38990003-2024,adriana ventura,deputado federal,novo,27,desporto e lazer,812,desporto comunitario,5126,esporte para a vida,20jp,"desenvolvimento de atividades e apoio a programas e projetos de esporte amador, educacao, lazer e inclusao social",3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,100000.0
38990017-2024,adriana ventura,deputado federal,novo,15,urbanismo,451,estrutura urbana,2319,mobilidade urbana,00t1,apoio a politica nacional de desenvolvimento urbano voltado a implantacao e qualificacao viaria-infra,4,investimentos,90,aplicacoes diretas,150863.0
38990006-2024,adriana ventura,deputado federal,novo,19,ciencia e tecnologia,572,desenvolvimento tecnologico e engenharia,2324,inovacao nas empresas para uma nova industrializacao,20v6,fomento ao desenvolvimento tecnologico e a inovacao nas empresas e nas cadeias produtivas,3,outras despesas correntes,99,reserva de contingencia,0.0
38990004-2024,adriana ventura,deputado federal,novo,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,99,reserva de contingencia,0.0
38990004-2024,adriana ventura,deputado federal,novo,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,99,reserva de contingencia,0.0
38990007-2024,adriana ventura,deputado federal,novo,06,seguranca publica,182,defesa civil,2318,gestao de riscos e de desastres,8348,apoio a obras emergenciais de mitigacao para reducao de desastres,4,investimentos,99,reserva de contingencia,0.0
38990020-2024,adriana ventura,deputado federal,novo,10,saude,126,tecnologia da informacao,5121,"gestao, trabalho, educacao e transformacao digital na saude",21gm,transformacao digital no sus,4,investimentos,99,reserva de contingencia,0.0
38990005-2024,adriana ventura,deputado federal,novo,10,saude,571,desenvolvimento cientifico,5120,"pesquisa, desenvolvimento, inovacao, producao e avaliacao de tecnologias em saude",21bf,"pesquisa, desenvolvimento tecnologico e inovacao em saude",4,investimentos,99,reserva de contingencia,0.0
38990009-2024,adriana ventura,deputado federal,novo,12,educacao,363,ensino profissional,5112,educacao profissional e tecnologica que transforma,21b3,"fomento as acoes de ensino, pesquisa, extensao e inovacao na educacao profissional e tecnologica",4,investimentos,99,reserva de contingencia,0.0
38990010-2024,adriana ventura,deputado federal,novo,12,educacao,368,educacao basica,5111,"educacao basica democratica, com qualidade e equidade",20rp,apoio a infraestrutura para a educacao basica,4,investimentos,99,reserva de contingencia,0.0
38990008-2024,adriana ventura,deputado federal,novo,13,cultura,392,difusao cultural,5125,direito a cultura,20zf,promocao e fomento a cultura brasileira,3,outras despesas correntes,99,reserva de contingencia,0.0
38990021-2024,adriana ventura,deputado federal,novo,18,gestao ambiental,542,controle ambiental,1190,qualidade ambiental nas cidades e no campo,21a9,"implementacao de programas, planos e acoes para melhoria da qualidade ambiental",3,outras despesas correntes,99,reserva de contingencia,0.0
38990021-2024,adriana ventura,deputado federal,novo,18,gestao ambiental,542,controle ambiental,1190,qualidade ambiental nas cidades e no campo,21a9,"implementacao de programas, planos e acoes para melhoria da qualidade ambiental",4,investimentos,99,reserva de contingencia,0.0
38990013-2024,adriana ventura,deputado federal,novo,19,ciencia e tecnologia,571,desenvolvimento cientifico,2308,"consolidacao do sistema nacional de ciencia, tecnologiae inovacao - sncti",215l,fomento a pesquisa e ao desenvolvimento cientifico e tecnologico,4,investimentos,99,reserva de contingencia,0.0
38990014-2024,adriana ventura,deputado federal,novo,19,ciencia e tecnologia,571,desenvolvimento cientifico,2308,"consolidacao do sistema nacional de ciencia, tecnologiae inovacao - sncti",215l,fomento a pesquisa e ao desenvolvimento cientifico e tecnologico,3,outras despesas correntes,99,reserva de contingencia,0.0
39000010-2024,adriano do baldy,deputado federal,pp,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,11670000.0
39000002-2024,adriano do baldy,deputado federal,pp,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,7750000.0
39000001-2024,adriano do baldy,deputado federal,pp,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,5500000.0
39000010-2024,adriano do baldy,deputado federal,pp,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,4600000.0
39000004-2024,adriano do baldy,deputado federal,pp,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,41,transferencias a municipios - fundo a fundo,449848.0
39000003-2024,adriano do baldy,deputado federal,pp,10,saude,301,atencao basica,5119,atencao primaria a saude,8581,estruturacao da rede de servicos de atencao primaria a saude,4,investimentos,41,transferencias a municipios - fundo a fundo,1471871.0
39000004-2024,adriano do baldy,deputado federal,pp,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,0.0
39000003-2024,adriano do baldy,deputado federal,pp,10,saude,301,atencao basica,5119,atencao primaria a saude,8581,estruturacao da rede de servicos de atencao primaria a saude,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,349997.0
39000007-2024,adriano do baldy,deputado federal,pp,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,50,transferencias a inst. privadas s/ fins lucrativos,300000.0
39000009-2024,adriano do baldy,deputado federal,pp,08,assistencia social,306,alimentacao e nutricao,5133,seguranca alimentar e nutricional e combate a fome,2798,aquisicao e distribuicao de alimentos da agricultura familiar para promocao da seguranca alimentar e nutricional,3,outras despesas correntes,90,aplicacoes diretas,299999.7
39000013-2024,adriano do baldy,deputado federal,pp,05,defesa nacional,122,administracao geral,0032,programa de gestao e manutencao do poder executivo,2000,administracao da unidade,3,outras despesas correntes,90,aplicacoes diretas,110000.0
39000014-2024,adriano do baldy,deputado federal,pp,21,organizacao agraria,127,ordenamento territorial,5136,"governanca fundiaria, reforma agraria e regularizacao de territorios quilombolas e de povos e comunidades tradicionais",21gd,reforma agraria e governanca fundiaria,3,outras despesas correntes,90,aplicacoes diretas,0.0
39000010-2024,adriano do baldy,deputado federal,pp,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,30,transferencias a estados e ao distrito federal,101585.0
13490006-2024,aecio neves,deputado federal,psdb,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,8085793.0
13490004-2024,aecio neves,deputado federal,psdb,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,8050000.0
13490007-2024,aecio neves,deputado federal,psdb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,7000000.0
13490009-2024,aecio neves,deputado federal,psdb,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,5735792.0
13490008-2024,aecio neves,deputado federal,psdb,15,urbanismo,244,assistencia comunitaria,2317,desenvolvimento regional e ordenamento territorial,00sx,apoio a projetos de desenvolvimento sustentavel local integrado,4,investimentos,90,aplicacoes diretas,854291.26
13490007-2024,aecio neves,deputado federal,psdb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,2240000.0
13490001-2024,aecio neves,deputado federal,psdb,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,50,transferencias a inst. privadas s/ fins lucrativos,0.0
13490009-2024,aecio neves,deputado federal,psdb,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),4,investimentos,41,transferencias a municipios - fundo a fundo,450000.0
